name,birthday,nationality
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRAZIL
Meryl Streep,1949-06-22,USA
Sônia Braga,1950-06-08,BRAZIL
Denzel Washington,1954-12-28,USA
Alice Braga,1983-04-15,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Viola Davis,1965-08-11,USA
Lázaro Ramos,1978-11-01,BRAZIL
Robert De Niro,1943-08-17,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Al Pacino,1940-04-25,USA
Camila Pitanga,1977-06-14,BRAZIL
Julia Roberts,1967-10-28,USA
Selton Mello,1972-12-30,BRAZIL
Brad Pitt,1963-12-18,USA
Cauã Reymond,1980-05-20,BRAZIL
Angelina Jolie,1975-06-04,USA
Taís Araújo,1978-11-25,BRAZIL
Morgan Freeman,1937-06-01,USA
Matheus Nachtergaele,1969-01-03,BRAZIL
Rami Malek,1981-05-12,USA
Juliano Cazarré,1980-09-24,BRAZIL
